"","id","score"
"pt__00039",39,0.00658285760744679
"pt__07693",7693,0.00590899918230134
"pt__00045",45,0.00538531832190079
"pt__07989",7989,0.00461185424290864
"pt__00236",236,0.00436831576462264
"pt__00019",19,0.00446106944336442
"pt__00175",175,0.00400208882000101
"pt__09469",9469,0.00373534455660148
"pt__00318",318,0.00370137650427798
"pt__00034",34,0.00365696576006848
"pt__08499",8499,0.00364432866688055
"pt__04975",4975,0.0036444254495321
"pt__06250",6250,0.00357896451704542
"pt__00110",110,0.00364915705879546
"pt__00755",755,0.00325805768955304
"pt__02106",2106,0.00322164560344081
"pt__00764",764,0.00317252881911022
"pt__00126",126,0.00304998999391904
"pt__00036",36,0.0030105582880315
"pt__01159",1159,0.00297780545473064
"pt__00047",47,0.00290867699936945
"pt__08032",8032,0.00285924917545973
"pt__00419",419,0.00283771244086017
"pt__00048",48,0.00275444340114926
"pt__00226",226,0.00274707123429304
"pt__08482",8482,0.00277203111980009
"pt__00371",371,0.00277462158077509
"pt__08683",8683,0.00282859782800606
"pt__01266",1266,0.00272357394639893
"pt__00332",332,0.00273026522332479
"pt__00071",71,0.00265732573007185
"pt__09143",9143,0.00267257105943574
"pt__04268",4268,0.00259295984697734
"pt__01286",1286,0.00251349319493203
"pt__00141",141,0.00251582178873341
"pt__01585",1585,0.00249866286872947
"pt__05731",5731,0.00250822538988026
"pt__00448",448,0.0025005638844297
"pt__08544",8544,0.00249490652541928
"pt__01075",1075,0.00251669914273144
"pt__08031",8031,0.00249723009718248
"pt__00374",374,0.00243817692063326
"pt__00197",197,0.00245562166434337
"pt__09524",9524,0.00245015948046904
"pt__05250",5250,0.00246452764328211
"pt__01004",1004,0.00243922058656248
"pt__08370",8370,0.00243636386392977
"pt__01751",1751,0.00242859207815857
"pt__07918",7918,0.00241854015677671
"pt__08667",8667,0.00242776439915426
"pt__00020",20,0.0024376459837246
"pt__00259",259,0.00242766064140699
"pt__06816",6816,0.00240747251055139
"pt__00423",423,0.00239847610092946
"pt__02893",2893,0.00235370837195904
"pt__01104",1104,0.00235988327213376
"pt__03846",3846,0.00234990517960656
"pt__00065",65,0.0023675812814109
"pt__00277",277,0.00230157243040839
"pt__08647",8647,0.00229651287990128
"pt__01309",1309,0.00228211590060427
"pt__07796",7796,0.00226806632536071
"pt__00025",25,0.00223487141799151
"pt__07534",7534,0.00223281367689905
"pt__06332",6332,0.00223927246602362
"pt__00057",57,0.00218585545055385
"pt__07860",7860,0.00219676566619618
"pt__00200",200,0.00218196215173572
"pt__01610",1610,0.00217065170227904
"pt__00022",22,0.00217791949140246
"pt__05994",5994,0.00216025866351634
"pt__00355",355,0.00216704780435744
"pt__00151",151,0.00216193940135374
"pt__00271",271,0.00215914684537997
"pt__00639",639,0.00217263714609024
"pt__08924",8924,0.0021760578993081
"pt__00033",33,0.00215421930614229
"pt__08729",8729,0.00213616463811462
"pt__00012",12,0.00213729289106951
"pt__05701",5701,0.00213848416941887
"pt__07557",7557,0.00214067135749388
"pt__00049",49,0.00211728973770251
"pt__04820",4820,0.00209249950163614
"pt__00353",353,0.00209340609623681
"pt__00681",681,0.00208964379984239
"pt__01934",1934,0.00209139286622758
"pt__04536",4536,0.00210111591644068
"pt__01640",1640,0.00210395464467552
"pt__02493",2493,0.00209875821846866
"pt__00009",9,0.00211299757187088
"pt__01600",1600,0.00207702741551723
"pt__01138",1138,0.00207200997588888
"pt__08006",8006,0.00205558467451763
"pt__00783",783,0.00202736019281738
"pt__08553",8553,0.00202649265271357
"pt__02727",2727,0.00202642034448666
"pt__00339",339,0.00202195511977354
"pt__06878",6878,0.00201800090801857
"pt__01380",1380,0.00202506495944064
"pt__00095",95,0.00201490308439183
"pt__01675",1675,0.00201804950148066
"pt__01317",1317,0.00201219150461711
"pt__00333",333,0.0020216208264391
"pt__07689",7689,0.00202092788648589
"pt__00649",649,0.00200595906429706
"pt__08650",8650,0.00199917899872448
"pt__08728",8728,0.00199059858817037
"pt__00391",391,0.00196380721588503
"pt__00597",597,0.00195507895258186
"pt__06236",6236,0.00195677934783661
"pt__00090",90,0.00193263068633866
"pt__02414",2414,0.00192458890685637
"pt__01052",1052,0.00192564097513969
"pt__03090",3090,0.00192362578987438
"pt__00589",589,0.00191892888294023
"pt__00179",179,0.00191462497388323
"pt__01110",1110,0.0019123130382245
"pt__00008",8,0.001915542493583
"pt__00130",130,0.00190314638265396
"pt__08646",8646,0.00189710918058099
"pt__01908",1908,0.00189497285594233
"pt__08733",8733,0.00188883825045587
"pt__00450",450,0.0018868307302051
"pt__00177",177,0.00187809078714354
"pt__00767",767,0.00187905240716606
"pt__00446",446,0.00186739089509213
"pt__06408",6408,0.00185984747621225
"pt__07775",7775,0.00185854398683779
"pt__00013",13,0.0018564813272891
"pt__00372",372,0.0018492199238798
"pt__06138",6138,0.00185056275271173
"pt__08666",8666,0.00185201780896964
"pt__00527",527,0.00185495087834049
"pt__03853",3853,0.00184182050511289
"pt__04153",4153,0.00184528585524516
"pt__00344",344,0.00184131654119593
"pt__00011",11,0.00183902232476812
"pt__00282",282,0.00183512187916669
"pt__00714",714,0.0018157685043664
"pt__02294",2294,0.0018101240101814
"pt__01235",1235,0.00180397983768041
"pt__07966",7966,0.00180266209991769
"pt__08653",8653,0.00180569200595506
"pt__00108",108,0.00178706082047641
"pt__00235",235,0.00178249096640334
"pt__00054",54,0.00178420887562247
"pt__03776",3776,0.00179090307925792
"pt__01809",1809,0.00178395067133926
"pt__00079",79,0.00177769580402572
"pt__03974",3974,0.00177504712109498
"pt__05161",5161,0.00176667631101924
"pt__00120",120,0.00176722720069813
"pt__08505",8505,0.00175129902444633
"pt__08914",8914,0.00174738707730916
"pt__06828",6828,0.00174203189118616
"pt__00072",72,0.00173707907731019
"pt__00532",532,0.00173786781712864
"pt__02860",2860,0.00172978991438109
"pt__00070",70,0.00172640780519015
"pt__09312",9312,0.00172416892558195
"pt__07594",7594,0.00172393468249155
"pt__00142",142,0.00172114439146316
"pt__04961",4961,0.00171242477607531
"pt__01011",1011,0.00171435394081252
"pt__00329",329,0.00171235907149089
"pt__02594",2594,0.00171163727388355
"pt__04495",4495,0.00169046854081363
"pt__04689",4689,0.00169021173036444
"pt__02140",2140,0.00168916089825583
"pt__02094",2094,0.00168180431041924
"pt__01054",1054,0.00168581741163838
"pt__01582",1582,0.00168939768839933
"pt__00178",178,0.00168226826018568
"pt__00133",133,0.0016801850299418
"pt__08997",8997,0.00167575682427827
"pt__07404",7404,0.00167655777475082
"pt__02524",2524,0.00167233868981624
"pt__00023",23,0.00167669458140191
"pt__03825",3825,0.00166922568580591
"pt__06653",6653,0.00166192620372554
"pt__09426",9426,0.00166239399204032
"pt__03502",3502,0.00163145146340809
"pt__04692",4692,0.00162566142612147
"pt__00250",250,0.00162249332486137
"pt__02452",2452,0.00162678339491742
"pt__00157",157,0.0016122426412982
"pt__00117",117,0.00161266697475039
"pt__00306",306,0.00161253965893439
"pt__02344",2344,0.00159504514267498
"pt__09234",9234,0.00159036752796492
"pt__08229",8229,0.00158644669549182
"pt__03113",3113,0.00158737073720898
"pt__00190",190,0.00157177273885178
"pt__01413",1413,0.00156625601889775
"pt__00381",381,0.00156680997953036
"pt__00405",405,0.00156483029785478
"pt__00198",198,0.00156668333984015
"pt__02650",2650,0.00156531578986106
"pt__00910",910,0.00156812100673423
"pt__02046",2046,0.00156328346447897
"pt__04243",4243,0.00156397608711836
"pt__00227",227,0.00156187182299159
"pt__05798",5798,0.0015480038818115
"pt__08405",8405,0.00154898129186922
"pt__02784",2784,0.00154490677745964
"pt__02804",2804,0.00154429661604777
"pt__02222",2222,0.00154257617650872
"pt__03241",3241,0.00154351311214535
"pt__06750",6750,0.00154393301880393
"pt__06092",6092,0.00154221212671326
"pt__00147",147,0.00153656797151251
"pt__05843",5843,0.00153548282837859
"pt__03159",3159,0.00153467912736347
"pt__00016",16,0.00153589127820335
"pt__05235",5235,0.00153653687390731
"pt__00285",285,0.00151971776256119
"pt__03001",3001,0.00152089072070863
"pt__09548",9548,0.00152131231938786
"pt__01431",1431,0.00151886774879513
"pt__00041",41,0.00152639855302389
"pt__00302",302,0.00152335665506862
"pt__00056",56,0.00151627371025059
"pt__04903",4903,0.00151833218170388
"pt__03067",3067,0.00151275952810198
"pt__00266",266,0.00151253633754134
"pt__00703",703,0.00150727224094607
"pt__02905",2905,0.00150593438382582
"pt__04290",4290,0.00150643410072324
"pt__00397",397,0.00150488320977679
"pt__00100",100,0.0015021729674416
"pt__02349",2349,0.00150274431243874
"pt__06124",6124,0.00150277330174239
"pt__04682",4682,0.00148954134357424
"pt__00435",435,0.00148852575162213
"pt__00004",4,0.00148055121830349
"pt__03935",3935,0.00147951651409713
"pt__00884",884,0.0014806247146953
"pt__00820",820,0.00147935491291378
"pt__01223",1223,0.00147910613244744
"pt__05386",5386,0.00147390530815843
"pt__00007",7,0.00146942723915684
"pt__03528",3528,0.00146611463143365
"pt__00654",654,0.00146554864315256
"pt__07253",7253,0.00146549476462283
"pt__00913",913,0.00146540604278681
"pt__04188",4188,0.00146089378068234
"pt__00149",149,0.00144687460022033
"pt__08541",8541,0.00144570281365479
"pt__05719",5719,0.00144419461020892
"pt__04261",4261,0.00143945055575259
"pt__01368",1368,0.00143955012105677
"pt__02749",2749,0.00144238803731628
"pt__00496",496,0.00143845131403543
"pt__07640",7640,0.00143813449316869
"pt__08806",8806,0.00143340436753469
"pt__01420",1420,0.00143268223624806
"pt__00148",148,0.00143092703274141
"pt__05232",5232,0.00142649342038391
"pt__02453",2453,0.00142568747133671
"pt__07777",7777,0.00142570077153481
"pt__00246",246,0.00142510928826653
"pt__01073",1073,0.00142271646973769
"pt__07247",7247,0.00142184999711021
"pt__00386",386,0.0014220463087848
"pt__00437",437,0.00142053189584863
"pt__01803",1803,0.00142063337759216
"pt__08852",8852,0.00141744671076649
"pt__09027",9027,0.00141534886774423
"pt__00440",440,0.0014092719337411
"pt__05683",5683,0.00140939632865073
"pt__06942",6942,0.00140835991429178
"pt__00403",403,0.00140680949163119
"pt__00069",69,0.00140078994161717
"pt__07379",7379,0.00139862632213862
"pt__04743",4743,0.00139855628274938
"pt__00136",136,0.00139480148484955
"pt__05355",5355,0.00139481717481245
"pt__09108",9108,0.00139644460737397
"pt__01815",1815,0.00139321019574528
"pt__00192",192,0.00139355038352952
"pt__01856",1856,0.00139170244414447
"pt__08467",8467,0.00138996495898404
"pt__05564",5564,0.00138949115892904
"pt__00432",432,0.001382974671585
"pt__08408",8408,0.00138369614382377
"pt__02820",2820,0.00138395628151675
"pt__03419",3419,0.00138003526750265
"pt__00132",132,0.00137739225507798
"pt__04291",4291,0.0013795474071426
